model,score,csa,validation_acceptance,threshold,known_acceptance,near_auroc,near_rejection,near_fpr_at_val95tpr,far_auroc,far_rejection,far_fpr_at_val95tpr,all_auroc,all_rejection,all_fpr_at_val95tpr
vanilla,msp,0.9464,0.95,0.16055656512984337,0.9473,0.8208988125,0.27,0.73,0.8863281249999999,0.44,0.56,0.8536134687500001,0.355,0.645
vanilla,mls,0.9464,0.95,-5.813921093940735,0.9477,0.8036140625,0.3325,0.6675,0.8812176250000001,0.505,0.495,0.84241584375,0.41875,0.58125
vanilla,energy,0.9464,0.95,-5.997370071416013,0.9485,0.8040426875000001,0.32875,0.67125,0.8816708750000001,0.5025,0.4975,0.84285678125,0.415625,0.584375
vanilla,mahalanobis,0.9464,0.95,2839.4332325085566,0.9497,0.7906014375,0.25,0.75,0.9104387500000001,0.50125,0.49875,0.85052009375,0.375625,0.624375
