group,image_index,unknown_class,predicted_known_class,score,threshold,semantic_interpretation
near,6418,camel,deer,-11.864910125732422,-5.813921093940735,
near,7564,fox,cat,-11.541337966918945,-5.813921093940735,
near,5748,bus,truck,-11.252635955810547,-5.813921093940735,
far,2797,bowl,cat,-12.249451637268066,-5.813921093940735,
far,6297,keyboard,bird,-11.434582710266113,-5.813921093940735,
far,5260,sunflower,bird,-11.40468692779541,-5.813921093940735,
