epoch,learning_rate,validation_accuracy,loss,classification_loss,placeholder_loss,mixup_loss,mixed_count
1,0.001,0.9456,0.5750428727043999,0.08662028990222348,0.18067847585214508,3.077441024102105,20020
2,0.0009990133642141358,0.9442,0.3394595868587494,0.10656463439729479,0.016262337832980686,2.1663261048634848,20014
3,0.000996057350657239,0.9466,0.3233991239123874,0.10436679954263899,0.012956026485231188,2.060762951787313,19944
4,0.0009911436253643444,0.9484,0.31547669453091093,0.10248615091376835,0.011530126611060567,2.014604121102227,19941
5,0.0009842915805643156,0.9446,0.3091379198074341,0.10174474945863088,0.010785410755210452,1.9660775632858276,19916
6,0.0009755282581475769,0.9442,0.30060467847188316,0.09993082206779057,0.010881745785474777,1.8979210728115505,19957
7,0.0009648882429441258,0.9444,0.29474628218015037,0.10053981231583489,0.010851346601545811,1.8335512002838983,20035
8,0.0009524135262330099,0.9404,0.2544513772620095,0.094351707734002,0.012807348155644206,1.4729231853485107,19953
9,0.0009381533400219318,0.9304,0.17017678705851236,0.07125633314318128,0.01596955896086163,0.829508937005202,19937
10,0.0009221639627510075,0.9406,0.11733015413284302,0.05142565993732876,0.017978448397583432,0.47926044750213626,19875
11,0.0009045084971874736,0.9324,0.09718794911702473,0.04147517690658569,0.016608179519573846,0.39104591965145535,19891
12,0.0008852566213878945,0.9246,0.07133866997294956,0.03327625941965315,0.01601106183661355,0.22051348712974125,19929
13,0.0008644843137107056,0.9354,0.08033008486496078,0.03126199438936181,0.013952273732920488,0.3511581605354945,19908
14,0.0008422735529643443,0.9218,0.1739954715453916,0.05705486849579546,0.010801111001438565,1.0613949042787154,19912
15,0.0008187119948743448,0.9206,0.05997374302711752,0.029203378721409375,0.013319857823517587,0.17450506078369088,19996
16,0.0007938926261462366,0.927,0.062428560757637024,0.02510011888212628,0.012276449763112597,0.2505199196126726,19992
17,0.0007679133974894982,0.907,0.05309964560733901,0.023944658754931555,0.012157504059043195,0.16997482318596707,19922
18,0.0007408768370508576,0.9298,0.062420428576734334,0.02392357814676232,0.010998650208612282,0.2749819982394576,19871
19,0.0007128896457825362,0.9294,0.04055345980723699,0.018623451181749504,0.010164060971140861,0.11765947525517809,19938
20,0.0006840622763423389,0.9232,0.049620378388298886,0.02050547392566999,0.010405358901371559,0.1870954529091716,19964
21,0.0006545084971874735,0.9212,0.048937623775502044,0.020148133802910646,0.009774095506800546,0.19015394018507667,19904
