epoch,learning_rate,validation_accuracy,loss,classification_loss,placeholder_loss,mixup_loss,mixed_count
1,0.1,0.3518,2.152187639448378,2.152187639448378,0.0,0.0,0
2,0.09997532801828658,0.4672,1.599995239300198,1.599995239300198,0.0,0.0,0
3,0.09990133642141358,0.5126,1.3177071484035916,1.3177071484035916,0.0,0.0,0
4,0.099778098230154,0.5864,1.0772544937027826,1.0772544937027826,0.0,0.0,0
5,0.0996057350657239,0.6548,0.8977949466069539,0.8977949466069539,0.0,0.0,0
6,0.09938441702975688,0.7158,0.776099003622267,0.776099003622267,0.0,0.0,0
7,0.09911436253643444,0.7632,0.6715618376308017,0.6715618376308017,0.0,0.0,0
8,0.09879583809693737,0.7168,0.6112379738648732,0.6112379738648732,0.0,0.0,0
9,0.09842915805643156,0.726,0.5668687805599637,0.5668687805599637,0.0,0.0,0
10,0.09801468428384716,0.7616,0.5355917684396108,0.5355917684396108,0.0,0.0,0
11,0.09755282581475769,0.8096,0.5180041710535686,0.5180041710535686,0.0,0.0,0
12,0.09704403844771128,0.7656,0.4967100198321872,0.4967100198321872,0.0,0.0,0
13,0.09648882429441258,0.792,0.4822909488466051,0.4822909488466051,0.0,0.0,0
14,0.09588773128419906,0.8038,0.45706711764335634,0.45706711764335634,0.0,0.0,0
15,0.09524135262330098,0.8366,0.44301428672472637,0.44301428672472637,0.0,0.0,0
16,0.0945503262094184,0.7912,0.4293034675174289,0.4293034675174289,0.0,0.0,0
17,0.09381533400219319,0.8164,0.42040991893874274,0.42040991893874274,0.0,0.0,0
18,0.0930371013501972,0.8416,0.4094901957988739,0.4094901957988739,0.0,0.0,0
19,0.09221639627510078,0.8132,0.40029585774739584,0.40029585774739584,0.0,0.0,0
20,0.09135402871372812,0.775,0.39573223961724174,0.39573223961724174,0.0,0.0,0
21,0.09045084971874741,0.8386,0.3823728764216105,0.3823728764216105,0.0,0.0,0
22,0.08950775061878455,0.8268,0.3799947246286604,0.3799947246286604,0.0,0.0,0
23,0.0885256621387895,0.8432,0.3688862212763892,0.3688862212763892,0.0,0.0,0
24,0.08750555348152302,0.827,0.36014759867986046,0.36014759867986046,0.0,0.0,0
25,0.08644843137107061,0.8286,0.358381051741706,0.358381051741706,0.0,0.0,0
26,0.0853553390593274,0.8426,0.34520225721995035,0.34520225721995035,0.0,0.0,0
27,0.08422735529643446,0.8436,0.3427436241467794,0.3427436241467794,0.0,0.0,0
28,0.08306559326618262,0.837,0.32838288389841713,0.32838288389841713,0.0,0.0,0
29,0.08187119948743452,0.8558,0.3278641861862606,0.3278641861862606,0.0,0.0,0
30,0.08064535268264886,0.8506,0.3323743433793386,0.3323743433793386,0.0,0.0,0
31,0.0793892626146237,0.8478,0.3133283890618218,0.3133283890618218,0.0,0.0,0
32,0.07810416889260657,0.8408,0.31393124735620287,0.31393124735620287,0.0,0.0,0
33,0.07679133974894986,0.8666,0.3083926331732008,0.3083926331732008,0.0,0.0,0
34,0.0754520707875186,0.8262,0.29951028781467015,0.29951028781467015,0.0,0.0,0
35,0.0740876837050858,0.8694,0.2929882775730557,0.2929882775730557,0.0,0.0,0
36,0.07269952498697738,0.8728,0.2935014345910814,0.2935014345910814,0.0,0.0,0
37,0.07128896457825366,0.8732,0.27859356153806053,0.27859356153806053,0.0,0.0,0
38,0.06985739453173906,0.8208,0.27775378046565585,0.27775378046565585,0.0,0.0,0
39,0.06840622763423394,0.8546,0.27321222537888423,0.27321222537888423,0.0,0.0,0
40,0.06693689601226462,0.8424,0.26707350759771137,0.26707350759771137,0.0,0.0,0
41,0.06545084971874741,0.8902,0.25965875469843547,0.25965875469843547,0.0,0.0,0
42,0.06394955530196152,0.8416,0.258237117407057,0.258237117407057,0.0,0.0,0
43,0.062434494358242776,0.8842,0.2530329424990548,0.2530329424990548,0.0,0.0,0
44,0.06090716206982718,0.8556,0.24297212721506756,0.24297212721506756,0.0,0.0,0
45,0.05936906572928628,0.8622,0.24261977088716294,0.24261977088716294,0.0,0.0,0
46,0.05782172325201159,0.8776,0.2360852250734965,0.2360852250734965,0.0,0.0,0
47,0.056266661678215264,0.8872,0.22911086341540018,0.22911086341540018,0.0,0.0,0
48,0.05470541566592575,0.8838,0.222266710404555,0.222266710404555,0.0,0.0,0
49,0.053139525976465714,0.885,0.2165247043185764,0.2165247043185764,0.0,0.0,0
50,0.05157053795390645,0.8834,0.2070533132235209,0.2070533132235209,0.0,0.0,0
51,0.05000000000000004,0.8854,0.2037516164885627,0.2037516164885627,0.0,0.0,0
52,0.04842946204609362,0.8836,0.2020932311322954,0.2020932311322954,0.0,0.0,0
53,0.04686047402353437,0.891,0.1900753853334321,0.1900753853334321,0.0,0.0,0
54,0.045294584334074316,0.8816,0.18413042028877472,0.18413042028877472,0.0,0.0,0
55,0.043733338321784825,0.8912,0.1831393850432502,0.1831393850432502,0.0,0.0,0
56,0.042178276747988484,0.8854,0.17338742847442626,0.17338742847442626,0.0,0.0,0
57,0.0406309342707138,0.8774,0.16595005418724484,0.16595005418724484,0.0,0.0,0
58,0.039092837930172916,0.8948,0.16043330250316196,0.16043330250316196,0.0,0.0,0
59,0.037565505641757285,0.8994,0.15556181285911136,0.15556181285911136,0.0,0.0,0
60,0.03605044469803857,0.8952,0.14898129742940266,0.14898129742940266,0.0,0.0,0
61,0.034549150281252675,0.9014,0.14222423296372097,0.14222423296372097,0.0,0.0,0
62,0.03306310398773546,0.8846,0.13050406636132134,0.13050406636132134,0.0,0.0,0
63,0.031593772365766146,0.9072,0.1283221809387207,0.1283221809387207,0.0,0.0,0
64,0.030142605468260992,0.9064,0.12363238322999742,0.12363238322999742,0.0,0.0,0
65,0.028711035421746394,0.8986,0.11574480181270176,0.11574480181270176,0.0,0.0,0
66,0.027300475013022688,0.9112,0.10566345557106865,0.10566345557106865,0.0,0.0,0
67,0.025912316294914254,0.913,0.10045366728305817,0.10045366728305817,0.0,0.0,0
