epoch,classification_loss,alignment_loss,total_loss,perturbed_loss,source_macro_f1,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1
1,0.6302061280593496,0.0,0.6302061280593496,0.7265194966434845,0.897822945915863,0.9461077844311377,0.9351918905213906,0.8414634146341463,0.8445777820337315,0.9040511727078892,0.9136991651924665
2,0.23470290068518646,0.0,0.23470290068518646,0.31058357692704414,0.908874302279239,0.9550898203592815,0.9477472917857716,0.8804878048780488,0.8795527999187647,0.8891257995735607,0.899322815133181
3,0.15556815602665244,0.0,0.15556815602665244,0.219466513504499,0.9230922724961305,0.9550898203592815,0.9485603235039584,0.8902439024390244,0.8880849323569714,0.929637526652452,0.9326315616274616
4,0.10096147078837227,0.0,0.10096147078837227,0.1560867899017216,0.9390094166771167,0.9700598802395209,0.9639519145845858,0.9243902439024391,0.9227554031366411,0.9253731343283582,0.930320932310123
5,0.08720145677675131,0.0,0.08720145677675131,0.14038872919068326,0.9230707688955372,0.9580838323353293,0.9503162582974005,0.9048780487804878,0.899933702984233,0.9104477611940298,0.9189623454049778
6,0.06921107499446465,0.0,0.06921107499446465,0.11443165748000485,0.9400880511644147,0.9670658682634731,0.9605380236710709,0.9097560975609756,0.9116804743782762,0.9424307036247335,0.9480456554438971
7,0.05492515546899677,0.0,0.05492515546899677,0.10026378605831322,0.9417027350823539,0.9640718562874252,0.9575070899822394,0.9195121951219513,0.9229512394454283,0.9424307036247335,0.9446498758193939
8,0.053416852800008095,0.0,0.053416852800008095,0.09478690330480487,0.8968151787197041,0.9580838323353293,0.9495895891713351,0.7975609756097561,0.795895815242808,0.9402985074626866,0.9449601317449694
9,0.05170766281547814,0.0,0.05170766281547814,0.09551556776403886,0.9153714666243621,0.9491017964071856,0.9415433681690498,0.8682926829268293,0.865202830047516,0.9381663113006397,0.9393682016565206
10,0.044866378513151055,0.0,0.044866378513151055,0.08214486987310521,0.9188196654069426,0.9520958083832335,0.9476513843342922,0.8804878048780488,0.8780291740044116,0.929637526652452,0.9307784378821238
11,0.031437514245374186,0.0,0.031437514245374186,0.06355871685841946,0.9376977166337118,0.9760479041916168,0.9717017380835492,0.9,0.908434783956962,0.9275053304904051,0.9329566278606245
12,0.02288021964202729,0.0,0.02288021964202729,0.05096972206120689,0.9390738702260114,0.9640718562874252,0.9568457647569171,0.9097560975609756,0.914652518151138,0.9466950959488273,0.9457233277699791
