epoch,classification_loss,alignment_loss,total_loss,perturbed_loss,source_macro_f1,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1
1,1.0296502536887606,0.0,1.0296502536887606,1.3054845272907483,0.8531426934906289,0.9101796407185628,0.888252794340954,0.8536585365853658,0.8324400917767468,0.8400852878464818,0.8387351943541858
2,0.3036131569611028,0.0,0.3036131569611028,0.5853907891682216,0.9159744971272265,0.9520958083832335,0.9454101273077073,0.8878048780487805,0.8845786787967959,0.908315565031983,0.917934685277176
3,0.19626706061435156,0.0,0.19626706061435156,0.4216173748884882,0.9321750036144462,0.9670658682634731,0.9628515118351247,0.8926829268292683,0.8889211121935737,0.9402985074626866,0.9447523868146402
4,0.13544536029617188,0.0,0.13544536029617188,0.32607370897613724,0.9358799193706044,0.9670658682634731,0.9606750932244081,0.8951219512195122,0.9015907942860134,0.9381663113006397,0.9453738706013917
5,0.11577056446043875,0.0,0.11577056446043875,0.298867010846367,0.9420780939535497,0.9640718562874252,0.9579631865997592,0.9219512195121952,0.9212206566850275,0.9424307036247335,0.9470504385758625
6,0.07082387684899488,0.0,0.07082387684899488,0.21600886970171201,0.9419828948822678,0.9700598802395209,0.9638548148608511,0.9073170731707317,0.908742763335467,0.9466950959488273,0.9533511064504854
7,0.06034845636877704,0.0,0.06034845636877704,0.2070672277893339,0.94007291805164,0.9640718562874252,0.9596411901824089,0.9048780487804878,0.905475216798462,0.9530916844349681,0.9551023471740493
8,0.04770396408748818,0.0,0.04770396408748818,0.1793408026469165,0.9471076433129565,0.9790419161676647,0.9746021422748451,0.9121951219512195,0.9075481518639511,0.9573560767590619,0.9591726358000733
9,0.03858187093498103,0.0,0.03858187093498103,0.15794926434021278,0.9358792574397223,0.9640718562874252,0.959737579965128,0.8926829268292683,0.8891733466912036,0.9530916844349681,0.9587268456628354
10,0.0356235526702275,0.0,0.0356235526702275,0.16374689086427535,0.9531513359698492,0.9850299401197605,0.9819082254137166,0.9170731707317074,0.9099312494632692,0.9637526652452025,0.967614533032562
11,0.028086809558005948,0.0,0.028086809558005948,0.13971631084867006,0.9423463509497568,0.9730538922155688,0.967920178634281,0.9048780487804878,0.906939878046632,0.9488272921108742,0.9521789961683573
12,0.02329666383496802,0.0,0.02329666383496802,0.1286958891421263,0.9409805926639946,0.9700598802395209,0.9654054571525801,0.9170731707317074,0.9148270147985448,0.9381663113006397,0.9427093060408589
13,0.021939280378664362,0.0,0.021939280378664362,0.12430321545858541,0.9481276181929115,0.9700598802395209,0.9638595817861709,0.9195121951219513,0.9184155742374814,0.9573560767590619,0.9621076985550819
14,0.01589055926257428,0.0,0.01589055926257428,0.10521626704156839,0.9484139016987662,0.9730538922155688,0.9682379900423362,0.9146341463414634,0.9143679410733382,0.9573560767590619,0.962635773980624
15,0.011072944779765649,0.0,0.011072944779765649,0.09106165433664958,0.9360331018435275,0.9550898203592815,0.9506041639330185,0.9121951219512195,0.9123958927542054,0.9445628997867804,0.9450992488433586
