epoch,classification_loss,alignment_loss,total_loss,grl_strength,source_macro_f1,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1
1,62.89504381082035,710.3282289816241,773.2232833920148,0.16436817821070115,0.036424990531281204,0.12275449101796407,0.03123809523809524,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04642857142857143
2,5.782310326698378,19.643118350963874,25.42542860660647,0.3208253829971499,0.06476936939378236,0.12574850299401197,0.038412541137336775,0.13658536585365855,0.055840273329062565,0.24093816631130063,0.10005529371494773
3,4.480877544492336,9.088068823509028,13.568946352145941,0.46153574434856526,0.07849348671984041,0.24251497005988024,0.09158734987758413,0.2,0.08052158780516917,0.14925373134328357,0.0633715224767679
4,2.512885228753677,1.2895583160992325,3.802443553661478,0.5823127919007984,0.05069551317794877,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04215456674473068
5,2.096903375216893,0.7206991329568947,2.817602506412074,0.6818958513646396,0.05001088086967903,0.17065868263473055,0.04825349829050791,0.14390243902439023,0.039275742957984965,0.14498933901918976,0.06250340136054422
6,2.01629774382549,0.6935568745500349,2.709854620430857,0.7613181273777241,0.05173821666218339,0.11676646706586827,0.03429160125588697,0.1926829268292683,0.05831955101266167,0.17484008528784648,0.06260349771800153
7,1.942167970934525,0.694144474755367,2.636312444809035,0.822997610625593,0.0880840753282402,0.18263473053892215,0.094812324929972,0.14390243902439023,0.06827655103517173,0.22388059701492538,0.10116335001957687
8,1.93572983365928,0.6932868640411076,2.6290166930024848,0.8699152600022042,0.09416970212666363,0.2964071856287425,0.1084946932595321,0.23902439024390243,0.09577313422487237,0.18763326226012794,0.07824127889558641
9,1.9022138893897897,0.6937517529637943,2.5959656438216787,0.9050443281391176,0.05557728870501849,0.2634730538922156,0.06877650588888495,0.21951219512195122,0.051531634697967364,0.17484008528784648,0.04642372552820313
10,1.8868939406766092,0.6925114860088367,2.5794054240428754,0.9310367435398768,0.14380625697941288,0.3592814371257485,0.16313316812413042,0.2634146341463415,0.11952346137104171,0.2345415778251599,0.14876214144306651
11,1.88565353572075,0.6927416398020213,2.578395183450483,0.9501005648874563,0.1560599523142088,0.40119760479041916,0.1761650114591291,0.28536585365853656,0.1279092589416719,0.2622601279317697,0.16410558654182533
12,1.8398930674116012,0.6911879989313962,2.5310810704536624,0.9639927544597939,0.20283171039605738,0.37425149700598803,0.24513819513819515,0.25365853658536586,0.16907324753525632,0.2771855010660981,0.1942836885147206
13,1.8130532673427038,0.6902390442458279,2.503292310414056,0.9740687359568376,0.22302970929691304,0.44011976047904194,0.22691668823256192,0.2951219512195122,0.17468508391047158,0.31982942430703626,0.2674873557477057
14,1.7194669963103797,0.6840303807423033,2.4034973694185906,0.9813519067613099,0.29031482669974445,0.47305389221556887,0.29489979202209415,0.3170731707317073,0.23813311438932666,0.3837953091684435,0.3379115736878126
15,1.6730159198122072,0.683148926995658,2.3561648441652947,0.986603375585513,0.29547897343278345,0.4820359281437126,0.29882204722079575,0.3121951219512195,0.22938603772935287,0.3795309168443497,0.3582288353482017
16,1.6459334859707084,0.703509324289895,2.349442812609555,0.9903831620141332,0.33206968866421555,0.5449101796407185,0.39326756369192456,0.3195121951219512,0.2620964825347415,0.39019189765458423,0.34084501976598053
17,1.5668936967849731,0.7067398842919637,2.2736335828386505,0.9931002057179537,0.3430699286603696,0.5029940119760479,0.35432417402248817,0.3048780487804878,0.24801297584248597,0.464818763326226,0.4268726361161349
18,2.22598140727123,1.533324873506142,3.759306285181656,0.9950515120173433,0.07363583445592829,0.1407185628742515,0.08570272229560547,0.17560975609756097,0.07960078198276646,0.16204690831556504,0.05560399908941295
19,3.803276108990749,2.3411095791262357,6.144385692521269,0.9964519586852216,0.06978274009262876,0.1347305389221557,0.06708074534161491,0.12682926829268293,0.07602438687274878,0.14925373134328357,0.0662430880635226
20,16.963987763879334,16.47118673976419,33.43517467541061,0.997456577264807,0.03820239204948677,0.11377245508982035,0.029185867895545316,0.18536585365853658,0.04467960023515579,0.16631130063965885,0.040741708017759205
21,5763.389364579628,3922.368524953062,9685.7579960964,0.9981770004737007,0.036424990531281204,0.12275449101796407,0.03123809523809524,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04642857142857143
22,1580.0556609501393,1263.947301376042,2844.0029603742028,0.9986934976433295,0.041937190303432716,0.10179640718562874,0.03284477015323118,0.14146341463414633,0.04051100507926735,0.15778251599147122,0.052455795677799615
