epoch,learning_rate,validation_accuracy,loss,classification_loss,placeholder_loss,mixup_loss,mixed_count
1,0.1,0.3174,2.2656826748953924,2.2656826748953924,0.0,0.0,0
2,0.09997532801828658,0.4116,1.7970922282324897,1.7970922282324897,0.0,0.0,0
3,0.09990133642141358,0.3792,1.5627057589424982,1.5627057589424982,0.0,0.0,0
4,0.099778098230154,0.533,1.3277466489156087,1.3277466489156087,0.0,0.0,0
5,0.0996057350657239,0.654,1.1351979296366375,1.1351979296366375,0.0,0.0,0
6,0.09938441702975688,0.6688,0.9934841806199816,0.9934841806199816,0.0,0.0,0
7,0.09911436253643444,0.7486,0.859869899866316,0.859869899866316,0.0,0.0,0
8,0.09879583809693737,0.7098,0.7926164709938897,0.7926164709938897,0.0,0.0,0
9,0.09842915805643156,0.7528,0.736194787173801,0.736194787173801,0.0,0.0,0
10,0.09801468428384716,0.773,0.7046279156578912,0.7046279156578912,0.0,0.0,0
11,0.09755282581475769,0.7448,0.6785284724765354,0.6785284724765354,0.0,0.0,0
12,0.09704403844771128,0.8048,0.6512114035182529,0.6512114035182529,0.0,0.0,0
13,0.09648882429441258,0.738,0.6347297871377733,0.6347297871377733,0.0,0.0,0
14,0.09588773128419906,0.818,0.6050619051085578,0.6050619051085578,0.0,0.0,0
15,0.09524135262330098,0.8036,0.5933554807239109,0.5933554807239109,0.0,0.0,0
16,0.0945503262094184,0.795,0.5823826990763347,0.5823826990763347,0.0,0.0,0
17,0.09381533400219319,0.8284,0.5769685017002953,0.5769685017002953,0.0,0.0,0
18,0.0930371013501972,0.8236,0.5554486565377977,0.5554486565377977,0.0,0.0,0
19,0.09221639627510078,0.7986,0.5533192763752407,0.5533192763752407,0.0,0.0,0
20,0.09135402871372812,0.8296,0.538657067516115,0.538657067516115,0.0,0.0,0
21,0.09045084971874741,0.8364,0.5338632013003032,0.5338632013003032,0.0,0.0,0
22,0.08950775061878455,0.8198,0.5200152709907956,0.5200152709907956,0.0,0.0,0
23,0.0885256621387895,0.851,0.5127819345474243,0.5127819345474243,0.0,0.0,0
24,0.08750555348152302,0.8082,0.510541049501631,0.510541049501631,0.0,0.0,0
25,0.08644843137107061,0.8438,0.4998053022172716,0.4998053022172716,0.0,0.0,0
26,0.0853553390593274,0.8566,0.492296173508962,0.492296173508962,0.0,0.0,0
27,0.08422735529643446,0.8658,0.48314196304745144,0.48314196304745144,0.0,0.0,0
28,0.08306559326618262,0.8226,0.48378202358881633,0.48378202358881633,0.0,0.0,0
29,0.08187119948743452,0.8204,0.47158706754578483,0.47158706754578483,0.0,0.0,0
30,0.08064535268264886,0.8574,0.47284293292363483,0.47284293292363483,0.0,0.0,0
31,0.0793892626146237,0.8514,0.45603937896092733,0.45603937896092733,0.0,0.0,0
32,0.07810416889260657,0.8456,0.4603756383895874,0.4603756383895874,0.0,0.0,0
33,0.07679133974894986,0.8594,0.4494687093310886,0.4494687093310886,0.0,0.0,0
34,0.0754520707875186,0.863,0.4457959580951267,0.4457959580951267,0.0,0.0,0
35,0.0740876837050858,0.85,0.4372497259034051,0.4372497259034051,0.0,0.0,0
36,0.07269952498697738,0.864,0.4363371583090888,0.4363371583090888,0.0,0.0,0
37,0.07128896457825366,0.8796,0.42281731395721434,0.42281731395721434,0.0,0.0,0
38,0.06985739453173906,0.866,0.41663130129708187,0.41663130129708187,0.0,0.0,0
39,0.06840622763423394,0.8624,0.41451421140034994,0.41451421140034994,0.0,0.0,0
40,0.06693689601226462,0.839,0.4128955593983332,0.4128955593983332,0.0,0.0,0
41,0.06545084971874741,0.8736,0.3986511218441857,0.3986511218441857,0.0,0.0,0
42,0.06394955530196152,0.8224,0.39701687989764745,0.39701687989764745,0.0,0.0,0
43,0.062434494358242776,0.88,0.39126674766540526,0.39126674766540526,0.0,0.0,0
44,0.06090716206982718,0.879,0.37940983731481764,0.37940983731481764,0.0,0.0,0
45,0.05936906572928628,0.8926,0.37795886237886217,0.37795886237886217,0.0,0.0,0
46,0.05782172325201159,0.8704,0.3705101228290134,0.3705101228290134,0.0,0.0,0
47,0.056266661678215264,0.88,0.3593131874985165,0.3593131874985165,0.0,0.0,0
48,0.05470541566592575,0.848,0.3557109796894921,0.3557109796894921,0.0,0.0,0
49,0.053139525976465714,0.8804,0.35336287149853174,0.35336287149853174,0.0,0.0,0
50,0.05157053795390645,0.8742,0.3445789205710093,0.3445789205710093,0.0,0.0,0
51,0.05000000000000004,0.8814,0.34342524826261733,0.34342524826261733,0.0,0.0,0
52,0.04842946204609362,0.9034,0.3304909492492676,0.3304909492492676,0.0,0.0,0
53,0.04686047402353437,0.903,0.32845114538404674,0.32845114538404674,0.0,0.0,0
54,0.045294584334074316,0.8676,0.3122220192723804,0.3122220192723804,0.0,0.0,0
55,0.043733338321784825,0.8974,0.30994645264943443,0.30994645264943443,0.0,0.0,0
56,0.042178276747988484,0.8868,0.3025973154385885,0.3025973154385885,0.0,0.0,0
57,0.0406309342707138,0.9008,0.2959716168774499,0.2959716168774499,0.0,0.0,0
58,0.039092837930172916,0.9006,0.28770369946691726,0.28770369946691726,0.0,0.0,0
59,0.037565505641757285,0.9022,0.2815070123937395,0.2815070123937395,0.0,0.0,0
60,0.03605044469803857,0.8994,0.2774950450791253,0.2774950450791253,0.0,0.0,0
61,0.034549150281252675,0.903,0.26423486225340104,0.26423486225340104,0.0,0.0,0
62,0.03306310398773546,0.8948,0.2567733538362715,0.2567733538362715,0.0,0.0,0
63,0.031593772365766146,0.9126,0.26007855815357633,0.26007855815357633,0.0,0.0,0
64,0.030142605468260992,0.907,0.25197155232959323,0.25197155232959323,0.0,0.0,0
65,0.028711035421746394,0.8934,0.2395259803560045,0.2395259803560045,0.0,0.0,0
66,0.027300475013022688,0.9254,0.22707045226626926,0.22707045226626926,0.0,0.0,0
67,0.025912316294914254,0.92,0.22397907888094584,0.22397907888094584,0.0,0.0,0
68,0.02454792921248146,0.9142,0.21217577580346,0.21217577580346,0.0,0.0,0
69,0.02320866025105018,0.9222,0.20785418952306112,0.20785418952306112,0.0,0.0,0
70,0.021895831107393487,0.9168,0.1982857727633582,0.1982857727633582,0.0,0.0,0
71,0.02061073738537637,0.9194,0.18639116608301798,0.18639116608301798,0.0,0.0,0
72,0.01935464731735119,0.9268,0.17674472562472027,0.17674472562472027,0.0,0.0,0
73,0.018128800512565532,0.9276,0.16942745815912882,0.16942745815912882,0.0,0.0,0
74,0.016934406733817433,0.9254,0.16338384400473702,0.16338384400473702,0.0,0.0,0
75,0.01577264470356558,0.9296,0.15563985605769687,0.15563985605769687,0.0,0.0,0
76,0.014644660940672643,0.9346,0.142808264611827,0.142808264611827,0.0,0.0,0
77,0.013551568628929448,0.9322,0.13470721903112198,0.13470721903112198,0.0,0.0,0
78,0.012494446518477033,0.9334,0.13118824770185683,0.13118824770185683,0.0,0.0,0
79,0.011474337861210555,0.941,0.12240159022808075,0.12240159022808075,0.0,0.0,0
80,0.01049224938121549,0.9418,0.10864720382293065,0.10864720382293065,0.0,0.0,0
81,0.009549150281252642,0.9424,0.10264627172284656,0.10264627172284656,0.0,0.0,0
82,0.008645971286271922,0.9412,0.0952885225309266,0.0952885225309266,0.0,0.0,0
83,0.007783603724899264,0.9432,0.09075156284968058,0.09075156284968058,0.0,0.0,0
84,0.006962898649802819,0.946,0.08117745847304662,0.08117745847304662,0.0,0.0,0
85,0.0061846659978068265,0.9496,0.07448771437009176,0.07448771437009176,0.0,0.0,0
86,0.005449673790581615,0.9466,0.07072857141229841,0.07072857141229841,0.0,0.0,0
87,0.004758647376699036,0.948,0.06281326261692577,0.06281326261692577,0.0,0.0,0
88,0.004112268715800957,0.9506,0.05858859379821354,0.05858859379821354,0.0,0.0,0
89,0.003511175705587435,0.9522,0.052173040735721585,0.052173040735721585,0.0,0.0,0
90,0.0029559615522887295,0.9536,0.05026742463774151,0.05026742463774151,0.0,0.0,0
91,0.0024471741852423253,0.9552,0.0462198543894622,0.0462198543894622,0.0,0.0,0
92,0.0019853157161528537,0.9548,0.043530584036310514,0.043530584036310514,0.0,0.0,0
93,0.0015708419435684529,0.9552,0.04204303482241101,0.04204303482241101,0.0,0.0,0
94,0.0012041619030626347,0.9566,0.03978314186467065,0.03978314186467065,0.0,0.0,0
95,0.0008856374635655646,0.9566,0.03550843177901374,0.03550843177901374,0.0,0.0,0
96,0.0006155829702431174,0.957,0.032925387293431495,0.032925387293431495,0.0,0.0,0
97,0.00039426493427611206,0.9578,0.03207590263817046,0.03207590263817046,0.0,0.0,0
98,0.00022190176984600036,0.9582,0.03437280166082912,0.03437280166082912,0.0,0.0,0
99,9.866357858642213e-05,0.9576,0.03377536216080189,0.03377536216080189,0.0,0.0,0
100,2.4671981713420017e-05,0.957,0.03284635883106126,0.03284635883106126,0.0,0.0,0
