epoch,classification_loss,alignment_loss,total_loss,grl_strength,source_macro_f1,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1
1,0.5523964439706849,0.0,0.5523964439706849,0.16436817821070115,0.8899369917687281,0.9431137724550899,0.9317960809346071,0.8146341463414634,0.8200714742044434,0.908315565031983,0.9179434201671336
2,0.23883504511816014,0.0,0.23883504511816014,0.3208253829971499,0.9085412818165173,0.9550898203592815,0.9469351499750616,0.8609756097560975,0.8605068845667372,0.9104477611940298,0.9181818109077532
3,0.14619350459729435,0.0,0.14619350459729435,0.46153574434856526,0.9254501629553692,0.9610778443113772,0.9548595886284705,0.8902439024390244,0.8891120590364733,0.9275053304904051,0.9323788412011638
4,0.13514208676995426,0.0,0.13514208676995426,0.5823127919007984,0.892518348140582,0.9520958083832335,0.9410445353166775,0.8317073170731707,0.8312624126332225,0.9019189765458422,0.9052480964718456
5,0.11596950275016021,0.0,0.11596950275016021,0.6818958513646396,0.9200568532123322,0.9580838323353293,0.9499662966671122,0.8853658536585366,0.8839839544066611,0.9211087420042644,0.9262203085632233
6,0.09730490389989123,0.0,0.09730490389989123,0.7613181273777241,0.908236205751754,0.9431137724550899,0.9352867699553136,0.8365853658536585,0.8471450783838693,0.9360341151385928,0.9422767689160793
7,0.0757173104318856,0.0,0.0757173104318856,0.822997610625593,0.9193021016197097,0.9580838323353293,0.9496721409121696,0.8829268292682927,0.8767054142343245,0.9253731343283582,0.9315287497126353
8,0.07766508021256588,0.0,0.07766508021256588,0.8699152600022042,0.90356853839346,0.9491017964071856,0.9439494505724387,0.8658536585365854,0.8599617597968082,0.8955223880597015,0.9067944048111329
