method,selected_epoch,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,source_mean_accuracy,source_worst_accuracy,source_mean_macro_f1,source_worst_macro_f1,source_domain_separability,sharpness_delta,target_accuracy,target_macro_f1,target_delta_pp,radius
sam_rho_0.01,7,0.9640718562874252,0.9575070899822394,0.9195121951219513,0.9229512394454283,0.9424307036247335,0.9446498758193939,0.9420049183447032,0.9195121951219513,0.9417027350823539,0.9229512394454283,0.8737541528239202,0.21229998394846916,0.5963349452786969,0.6287983851260578,-6.286586917790782,0.01
sam,10,0.9850299401197605,0.9819082254137166,0.9170731707317074,0.9099312494632692,0.9637526652452025,0.967614533032562,0.9552852586988901,0.9170731707317074,0.9531513359698492,0.9099312494632692,0.8372093023255814,0.14727899432182312,0.6172053957750063,0.6667414660738166,-4.199541868159839,0.05
sam_rho_0.1,20,0.9670658682634731,0.9608677684507375,0.9121951219512195,0.9102454785918582,0.9552238805970149,0.9610537568392088,0.9448282902705691,0.9121951219512195,0.9440556679606015,0.9102454785918582,0.7940199335548173,0.07303237915039062,0.5510307966403665,0.575615925494135,-10.817001781623825,0.1
