method,selected_epoch,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,source_mean_accuracy,source_mean_macro_f1,target_accuracy,target_macro_f1,target_delta_pp,source_target_gap_pp,domain_separability
source_only,3,0.9610778443113772,0.9548595886284705,0.8902439024390244,0.8891120590364733,0.9275053304904051,0.9323788412011638,0.9262756924136021,0.9254501629553692,0.6592008144566047,0.6285783340544666,0.0,26.707487795699734,1.0
dan,2,0.44011976047904194,0.2508536233026029,0.16585365853658537,0.09403312207894043,0.14072494669509594,0.10054679116081792,0.24889945523690774,0.14847784551412044,0.1007890048358361,0.09795388984547955,-55.84118096207686,14.811045040107162,0.5631868131868132
dann,17,0.5029940119760479,0.35432417402248817,0.3048780487804878,0.24801297584248597,0.464818763326226,0.4268726361161349,0.4242302746942539,0.3430699286603696,0.20259608042758973,0.18399492496136743,-45.6604734029015,22.163419426666415,0.9217032967032966
cdan,1,0.9311377245508982,0.9147015949236837,0.7951219512195122,0.7861495469164369,0.8912579957356077,0.8997807156822832,0.8725058905020061,0.8668772858408014,0.6266225502672436,0.6556739298309603,-3.257826418936116,24.588334023476254,1.0
