method,class,count,accuracy,delta_pp,dominant_confusion,dominant_confusion_count
source_only,dog,772,0.13730569948186527,0.0,elephant,318
source_only,elephant,740,0.9662162162162162,0.0,giraffe,21
source_only,giraffe,753,0.9110225763612217,0.0,elephant,47
source_only,guitar,608,0.8289473684210527,0.0,giraffe,82
source_only,horse,816,0.5698529411764706,0.0,giraffe,222
source_only,house,80,0.9625,0.0,giraffe,2
source_only,person,160,0.23125,0.0,giraffe,101
dan,dog,772,0.0,-13.730569948186528,house,772
dan,elephant,740,0.0,-96.62162162162163,house,736
dan,giraffe,753,0.0,-91.10225763612218,house,712
dan,guitar,608,0.5197368421052632,-30.92105263157895,house,292
dan,horse,816,0.0,-56.98529411764706,house,800
dan,house,80,1.0,3.749999999999998,,0
dan,person,160,0.0,-23.125,house,160
dann,dog,772,0.05310880829015544,-8.419689119170984,person,395
dann,elephant,740,0.3635135135135135,-60.270270270270274,person,325
dann,giraffe,753,0.07171314741035857,-83.93094289508632,person,402
dann,guitar,608,0.43585526315789475,-39.30921052631579,person,320
dann,horse,816,0.031862745098039214,-53.799019607843135,person,475
dann,house,80,0.125,-83.75,elephant,31
dann,person,160,0.81875,58.74999999999999,elephant,16
cdan,dog,772,0.18652849740932642,4.922279792746115,horse,308
cdan,elephant,740,0.9878378378378379,2.1621621621621623,horse,5
cdan,giraffe,753,0.28419654714475434,-62.68260292164673,horse,363
cdan,guitar,608,0.9095394736842105,8.059210526315786,elephant,48
cdan,horse,816,0.7696078431372549,19.97549019607844,elephant,169
cdan,house,80,0.9375,-2.500000000000002,elephant,5
cdan,person,160,0.73125,49.99999999999999,elephant,40
dan_lambda_0.1,dog,772,0.4067357512953368,26.94300518134715,horse,183
dan_lambda_0.1,elephant,740,0.8567567567567568,-10.945945945945946,dog,55
dan_lambda_0.1,giraffe,753,0.751660026560425,-15.936254980079678,horse,111
dan_lambda_0.1,guitar,608,0.9078947368421053,7.8947368421052655,giraffe,30
dan_lambda_0.1,horse,816,0.8394607843137255,26.960784313725494,house,65
dan_lambda_0.1,house,80,1.0,3.749999999999998,,0
dan_lambda_0.1,person,160,0.88125,64.99999999999999,house,10
dan_lambda_10,dog,772,0.0,-13.730569948186528,person,772
dan_lambda_10,elephant,740,0.0,-96.62162162162163,person,740
dan_lambda_10,giraffe,753,0.0,-91.10225763612218,person,753
dan_lambda_10,guitar,608,0.0,-82.89473684210526,person,608
dan_lambda_10,horse,816,0.0,-56.98529411764706,person,816
dan_lambda_10,house,80,0.0,-96.25,person,80
dan_lambda_10,person,160,1.0,76.875,,0
