epoch,classification_loss,alignment_loss,total_loss,perturbed_loss,source_macro_f1,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1
1,1.9421156004731879,0.0,1.9421156004731879,2.002786944652426,0.05871131962382209,0.27245508982035926,0.08262746536497277,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
2,1.934716400841774,0.0,1.934716400841774,1.9567710419593773,0.13700892634817116,0.4161676646706587,0.1842262874520939,0.2731707317073171,0.12940775375024352,0.2025586353944563,0.09739273784217604
3,1.825454933889981,0.0,1.825454933889981,1.9193086788572113,0.17729544518060938,0.41916167664670656,0.19759229534510434,0.32439024390243903,0.1651860744297719,0.27505330490405117,0.16910796576695192
4,1.5822491616451095,0.0,1.5822491616451095,1.7392523018597381,0.31259404341763614,0.4820359281437126,0.28170734729568114,0.3780487804878049,0.24803719585819994,0.5287846481876333,0.4080375870990274
5,0.977589877661813,0.0,0.977589877661813,1.3274898740458372,0.7744036632448711,0.8173652694610778,0.7863106493227104,0.7170731707317073,0.7124675123797675,0.8187633262260128,0.8244328280321357
6,0.6126557960005229,0.0,0.6126557960005229,0.9921562859577499,0.862476127581382,0.8892215568862275,0.8654060552602607,0.8268292682926829,0.8205441852535917,0.8912579957356077,0.9014781422302937
7,0.38952953181243294,0.0,0.38952953181243294,0.7384729743591083,0.8849389263592791,0.9191616766467066,0.9042465895076602,0.8341463414634146,0.8311721210616135,0.9104477611940298,0.9193980685085636
8,0.2603021922791973,0.0,0.2603021922791973,0.5625158885282836,0.8941712787296122,0.9341317365269461,0.9215987509225914,0.848780487804878,0.8470499170410947,0.908315565031983,0.9138651682251505
9,0.19247077321037284,0.0,0.19247077321037284,0.45858005819649533,0.9175779994649692,0.9491017964071856,0.9407256235827665,0.875609756097561,0.8721439043374138,0.9339019189765458,0.9398644704747273
10,0.14506100345714926,0.0,0.14506100345714926,0.3892239283017924,0.921574678407501,0.9610778443113772,0.954327765811237,0.8707317073170732,0.8630279326627237,0.9466950959488273,0.947368336748542
11,0.11207057499404759,0.0,0.11207057499404759,0.33544787419547,0.9231263119657243,0.9550898203592815,0.9471270510614621,0.8804878048780488,0.8789301365114826,0.9360341151385928,0.9433217483242278
12,0.09312715136481614,0.0,0.09312715136481614,0.301609922365602,0.9241384462600667,0.9580838323353293,0.9502918903354394,0.875609756097561,0.8706138896405012,0.9445628997867804,0.9515095588042592
13,0.08062473473969499,0.0,0.08062473473969499,0.2868212512854872,0.9270946557705506,0.9491017964071856,0.9394347786156846,0.8878048780487805,0.884644220586811,0.9530916844349681,0.9572049681091562
14,0.06344310380862521,0.0,0.06344310380862521,0.24935008258801963,0.9105785661472211,0.9491017964071856,0.9382845696031249,0.8658536585365854,0.8567312544253538,0.9317697228144989,0.9367198744131848
15,0.0484038821795469,0.0,0.0484038821795469,0.2097290348573565,0.9343556472804391,0.9640718562874252,0.955615959376889,0.9,0.8975856617621725,0.9445628997867804,0.9498653207022557
16,0.034658080285181074,0.0,0.034658080285181074,0.17868548547252647,0.9277256251543585,0.9610778443113772,0.9544628168972471,0.8853658536585366,0.8830425925129681,0.9424307036247335,0.9456714660528602
17,0.04220806360342241,0.0,0.04220806360342241,0.21395625410775834,0.9337763241075091,0.9640718562874252,0.9587663397593712,0.9,0.8993992959431127,0.9381663113006397,0.9431633366200433
18,0.02636641273739532,0.0,0.02636641273739532,0.16137860621798214,0.9337052734288914,0.9670658682634731,0.9592940268124515,0.8926829268292683,0.8905839433814595,0.9466950959488273,0.9512378500927633
19,0.02359017751149815,0.0,0.02359017751149815,0.1546479400999734,0.9296294819589056,0.9520958083832335,0.9423112810215528,0.8926829268292683,0.8863132468174674,0.9552238805970149,0.9602639180376968
20,0.01835769366744213,0.0,0.01835769366744213,0.13055950441750988,0.9440556679606015,0.9670658682634731,0.9608677684507375,0.9121951219512195,0.9102454785918582,0.9552238805970149,0.9610537568392088
21,0.016708597573543454,0.0,0.016708597573543454,0.14327757396813243,0.938383546689931,0.9550898203592815,0.9475014022991602,0.9073170731707317,0.9069671728623966,0.9552238805970149,0.9606820649082357
22,0.017348175255921233,0.0,0.017348175255921233,0.1442089965154091,0.9284025851275618,0.9610778443113772,0.9529713117210322,0.8853658536585366,0.881161609371248,0.9466950959488273,0.9510748342904055
23,0.011965091742392804,0.0,0.011965091742392804,0.12032188578816176,0.9331634438446733,0.9610778443113772,0.9534424514384375,0.8829268292682927,0.8831114873719856,0.9594882729211087,0.9629363927235969
24,0.010862673398428722,0.0,0.010862673398428722,0.12531004431359286,0.9266021035550436,0.9550898203592815,0.9452620667131602,0.8853658536585366,0.8835243397686233,0.9466950959488273,0.9510199041833475
25,0.013853992494350768,0.0,0.013853992494350768,0.13590932686083715,0.936684079014093,0.9700598802395209,0.9638002122437213,0.8902439024390244,0.889034829604351,0.9530916844349681,0.9572171951942063
